Data,ACP,BFT,BDX,CDR,CPS,DNP,KTY,KRU,LPP,OPL,PKN,RBW,SNT,XTB,value
2025-03-27,11849.627713669564,7179.802955665025,8947.202629810234,7766.715125971965,7967.6150121065375,8141.89550165616,8834.725316491169,6828.735830513815,8064.786653546829,8428.566990498086,10104.463567859922,7784.4579331470895,7843.645859895014,6732.9613213756875,116475.20241220709
2025-03-28,11879.728831926106,7167.487684729064,8753.350809262347,8062.0279107815295,7902.037933817594,8120.525697189872,8711.301204312827,6664.851886424765,8024.5326057786915,8466.663815540762,9988.704201669687,7816.518147440734,7702.337720956543,6681.961381214493,115942.029831045
2025-03-31,11879.728831926106,7105.911330049262,8432.749121655233,7818.360593544984,7619.552058111381,8038.60811340243,8505.612595192557,6442.916409007168,7881.2673316039,8340.955388083288,9846.923101105955,7752.341075365293,7596.347457552603,6681.961381214493,113943.23478781465
2025-04-01,12218.059258044294,7105.911330049262,8356.696082574545,7751.932814952142,7833.938660209847,8104.498343840154,8551.895268921164,6567.539654555867,8051.368637624118,8571.422519510375,9975.69333448294,7741.635456104696,7469.144486747737,6581.942081092539,114881.67792870969
2025-04-02,11902.227882051533,7389.162561576355,8276.167500697842,7991.858243935548,7773.405972558515,8220.251451365886,8495.322691383453,6596.56542122014,8071.495661508186,8499.041577888389,10003.178013253031,7693.545134664229,7476.215389214712,6727.0722557797135,115115.50975709753
2025-04-03,12045.131405203132,7241.379310344828,7992.836012681225,7840.515535875446,7947.437449556094,8092.032624568153,8125.072248260788,6384.864875678622,7292.738244327161,8514.282325211525,9654.499223238778,7506.395049812284,7313.694542875315,6681.961381214493,112632.84022884784
2025-04-04,10977.46316989962,6982.758620689656,7980.906429967112,7851.5930070406785,8247.578692493948,7972.7178829647055,7924.50669763271,6234.6453694346,6876.546799057757,8325.714640760152,9287.02004140444,7137.532654970919,7137.031891601966,6511.336503947256,109447.3524018655
2025-04-07,10248.125360714293,6896.551724137931,7930.209601988576,7582.14000441617,7965.092816787732,7830.252519856111,7682.814371886757,6111.719014860121,6787.046769239944,8255.24005336985,9260.967180554419,7217.68319070503,6677.716325651329,6895.737622848648,107341.29655701693
2025-04-08,10736.807800981236,7068.9655172413795,8231.427666963476,7906.980362866835,8270.278450363196,8049.293015635575,7785.669623153072,6296.090684711584,6934.738125055908,8464.757461309078,9213.219165567643,7404.833275556975,7066.359503732558,7038.908287337519,110468.32894047603
2025-04-09,10165.424074075781,6724.137931034483,8210.546998657337,7404.937514171013,7944.9152542372885,8074.224454179579,7641.676650062704,6009.29824805831,6905.6191668903,8161.899301729678,8975.957598268622,7217.68319070503,6751.905846354052,7105.5948440862,107293.82107251039
