Data,ALE,MBK,PCO,ZAB,value
2025-02-07,26177.407932011334,30606.44924880909,25886.997166452737,27928.25768667643,110599.1120339496
2025-02-10,26460.694050991504,30853.792598021257,26349.113608292362,28788.433382137628,112452.03363944276
2025-02-11,26403.151558073656,32063.026749725177,26132.964810733574,28648.12103465105,113247.26415318345
2025-02-12,26673.15864022663,32521.069989006966,25998.704318132284,27696.43728648121,112889.37023384709
2025-02-13,27283.994334277624,32841.70025650422,25924.23288367925,27269.399707174234,113319.32718163532
2025-02-14,27376.94759206799,32447.783070721878,25640.87815746773,27354.80722303563,112820.41604329323
2025-02-17,27376.94759206799,32979.113228288756,26341.54537308372,28184.480234260616,114882.08642770108
2025-02-18,27222.02549575071,34270.7951630634,26162.78365745562,28300.390434358225,115955.99475062794
2025-02-19,26788.243626062325,34124.22132649322,25491.93528856167,27781.844802342606,114186.24504345981
2025-02-20,25792.315864022665,33803.591058995975,25283.20336150735,28044.167886774034,112923.27817130001
2025-02-21,26248.229461756375,33895.19970685233,25491.93528856167,27702.53782332845,113337.90228049882
2025-02-24,25491.324362606236,33070.721876145115,24664.575815553024,27116.88628599317,110343.50834029754
2025-02-25,25770.18413597734,33482.96079149872,24537.7321934562,27708.638360175697,111499.51548110796
2025-02-26,25982.648725212468,34701.35580798828,25812.37436729554,28263.787213274765,114760.16611377106
2025-02-27,24907.046742209634,33941.00403078051,25163.927974619168,28184.480234260616,112196.45898186992
2025-02-28,24778.68271954674,33904.36057163797,24947.779177060376,27818.448023426063,111449.27049167114
2025-03-03,24867.20963172805,34069.256137779405,25521.754135283718,27037.579306979012,111495.79921177018
2025-03-04,24398.01699716714,32429.461341150607,24686.82642706643,26769.15568570034,108283.46045108452
2025-03-05,25331.975920679888,33711.982411139616,26088.160858298415,27275.500244021474,112407.6194341394
2025-03-06,25818.873937677054,34454.01245877612,26304.309655857207,27452.41581259151,114029.61186490189
2025-03-07,25584.277620396602,35067.79039941371,25163.927974619168,27476.81795998048,113292.81395440997
2025-03-10,25163.774787535414,33950.164895566144,25357.67479596038,27757.442654953637,112229.05713401557
2025-03-11,25345.254957507084,33895.19970685233,25335.2728197428,27354.80722303563,111930.53470713785
2025-03-12,25230.169971671392,34655.5514840601,25536.587876292655,26488.530990727184,111910.84032275133
2025-03-13,28665.014164305954,35049.46866984244,25409.895618900002,26860.66373840898,115985.04219145738
2025-03-14,28346.317280453262,36414.43752290217,25782.555520573493,27208.394338701808,117751.70466263073
2025-03-17,27952.37252124646,37064.85892268231,25626.044416458793,27428.01366520254,118071.28952559011
2025-03-18,27859.419263456093,38017.58886038842,25716.863238962484,27208.394338701808,118802.2657015088
2025-03-19,27500.885269121816,37816.04983510444,25406.5655954082,27373.108833577353,118096.60953321181
2025-03-20,27700.070821529745,37687.797728105535,24937.335012472453,26866.76427525622,117191.96783736396
2025-03-21,27894.830028328615,37513.74129717846,24369.717371824372,26384.82186432406,116163.11056165551
2025-03-24,28890.757790368272,38448.149505313304,24384.85384224165,27306.002928257687,119029.76406618091
2025-03-25,28611.89801699717,39584.09673873214,23839.94090721949,25902.8794533919,117938.81511634069
2025-03-26,27642.5283286119,39025.28398680836,23408.551500326947,25884.57784285017,115960.94165859737
