Data,ALR,MDV,ENA,JSW,KGH,MIL,PEO,PGE,PKO,PZU,SPL,TPE,value
2025-04-14,10421.468356100266,9737.827715355807,8474.371309747263,9110.59551430781,8166.737558485753,13077.790304396845,10196.52416707142,10722.058983567309,9643.941436672718,10131.351456494262,9803.280087620727,10789.473684210527,120275.4205740307
2025-04-15,10363.83751230945,10001.702417432754,8461.555650194274,8890.177880897138,8092.301148447471,13293.874483276966,10442.162787673215,9835.128958537383,9860.498588155955,10052.402640125916,10016.622492797052,10307.01754385965,119617.28210370723
2025-04-16,9974.829316721445,9831.460674157304,8525.633947959222,9010.054137664347,8081.667375584859,13077.790304396845,10484.097852022305,9943.954728479704,9832.373303509976,10102.639273461651,10088.94831420186,10530.701754385966,119484.15098254549
2025-04-17,10205.352691884707,9763.363976847124,8455.114959752258,9002.32018561485,8092.301148447471,13387.824126268322,10579.91151170599,10052.780498422027,9939.249385164692,10178.003910436588,10385.482206386008,11223.684210526319,121265.38881145635
2025-04-22,10431.066449673644,9622.914538644876,8782.0785816811,9172.46713070379,8290.798241882889,13716.64787673807,10792.639069147737,10395.581673740342,10144.556422789536,10353.861188025663,11014.683267823248,12074.561403508775,124791.85584435967
2025-04-23,10930.516144881321,9971.910112359552,8782.0785816811,9300.077339520496,8765.773429746208,14440.060127771516,11496.577514843157,10498.966155185548,10692.991933095303,10569.18318682758,11199.103246739907,12201.754385964914,128848.9921586166
2025-04-24,10786.439035404283,9814.436499829759,8858.972538999038,9427.6875483372,8904.01247696016,14346.11048478016,11487.55351365411,10814.560888018284,10774.547718277849,10605.083102589677,11206.333853304823,12557.01754385965,129582.75520401499
2025-04-25,10296.59800435762,9767.620020429009,9070.529503619933,9416.086620262955,8914.646249822772,14092.446448703497,11484.567630907735,10874.415061486561,10715.492160812086,10658.903915318822,11228.025672999573,12982.456140350878,129501.78742907144
2025-04-28,10349.429801361746,10052.77494041539,9064.088813177917,9416.086620262955,8879.200340280733,14007.891770011276,11523.51681251045,10980.520187180324,10662.061660275518,10666.091648048308,10978.510479243023,12824.561403508773,129404.73447627643
2025-04-29,10190.944980937003,10406.026557711952,9198.751820480871,9427.6875483372,8826.031475967675,14073.656520105225,11538.512579192246,11258.025900533246,10664.866648449326,10745.040464416656,10877.262231578548,13179.82456140351,130386.63128911346
2025-04-30,9821.143543083392,9256.894790602655,9141.048491826896,9319.412219644239,8475.11697150149,13707.252912438935,11283.849957401406,11198.17172706497,10178.306764364708,10558.43064864735,10436.096452340425,12960.526315789475,126336.25079470593
2025-05-02,9941.214848039348,9576.098059244126,9237.19879913984,9508.894044856921,8723.238338295761,14045.471627207817,11355.776555114087,11309.71814125585,10546.740452936223,10960.381837161238,10663.919826402225,13214.912280701756,129083.5648103552
2025-05-05,9806.746402723324,9363.295880149813,9230.758108697824,9551.430781129156,8709.059974478947,13613.303269447577,11319.813256257747,11391.337468712592,10507.365054431853,10946.02574564493,9955.162336995261,13157.894736842107,127552.19301551113
2025-05-06,9585.821121133438,9393.088185223016,9179.495470485866,9361.948955916474,8751.595065929394,13049.605411499439,11041.130866596068,11342.365872238546,10279.557789090226,10684.031918958022,9698.416536673794,13412.280701754387,125779.33789549867
2025-05-07,9777.930980827916,9614.402451481103,9320.533446899795,9474.091260634184,8790.585566425636,13481.773769259678,11163.883823947046,11625.312874088584,10400.50405335872,10816.820921998182,9799.664784338269,14184.210526315792,128449.7144595749
2025-05-08,9897.991715196236,9878.277153558052,9551.281040184651,9222.737819025522,8790.585566425636,13228.109733183015,11346.354436225527,11851.126346718904,10484.864826715071,10820.40510139159,9749.030782628211,14495.614035087721,129316.37855634013
2025-05-09,10315.804762092013,10325.16172965611,9743.58165481054,9187.935034802786,8950.09215936481,13622.698233746713,11837.366265629438,12019.806290129503,11007.99512113025,11143.40747353713,9893.682425437828,14552.63157894737,132600.1627292845
2025-05-12,10282.190293409916,9661.218930881852,10237.21457225929,9222.737819025522,9194.668935204878,13340.849304772642,11860.589798101246,12076.939819349223,10971.424710799689,11172.119656569743,10130.751493140011,14644.736842105265,132795.44217561928
2025-05-13,10354.228848148436,9669.731018045624,11121.82368807079,9358.081979891724,9176.945980433858,13519.35362645622,12062.966295355562,12909.45695940799,10996.745007271858,11240.31593475786,10415.234374382635,15574.561403508775,136399.44511573133
2025-05-14,10291.79895757093,9601.634320735444,11326.93996224967,8963.650425367363,9013.89479654048,13848.177376925969,12109.413360299173,12536.728697355533,11103.606008344994,11211.60375172525,10375.722863098938,15311.403508771931,135694.5740289857
2025-05-15,10243.766207353494,9716.547497446374,11256.420974042705,8836.040216550658,8772.862611654617,14299.135663284482,12003.248640428057,12270.105560996844,10915.174141507736,11333.620842642513,10375.722863098938,15087.719298245616,135110.36451725205
2025-05-16,10306.206668518636,9942.117807286346,11621.765853299474,8870.843000773395,8748.050474975189,14214.580984592261,12062.966295355562,13050.930460333007,10850.493527112778,11362.333025675123,10553.524663875574,15820.175438596494,137403.98820039385
2025-05-19,10133.314137146188,9780.38815117467,11660.278553289487,8967.517401392111,8801.219339288247,13453.588876362272,11860.589798101246,12890.412449668083,10631.116306874153,11225.959843241555,10114.946888626533,16057.01754385965,135576.34928902422
2025-05-20,10248.575824727819,9648.450800136194,11589.75956508252,8955.916473317866,8762.228838792005,13491.168733558814,12043.060410379725,12931.222113396454,10687.366876166107,11197.247660208945,10186.067608937188,16232.45614035088,135973.5210450545
2025-05-21,10123.705472985173,9712.291453864487,11615.3908841885,8952.049497293116,8673.614064936908,13519.35362645622,11903.719215548886,12893.13309391664,10572.060749408392,10784.524559572163,10126.800342011642,16241.228070175439,135117.87103035758
2025-05-22,9998.845691830164,9750.595846101463,11666.65352240046,8816.705336426914,8655.891110165889,13509.958662157085,11867.22509309319,12528.566764609861,10532.685350904021,10784.524559572163,10087.288830727945,16078.947368421053,134277.8881364102
2025-05-23,9936.405230665023,9610.146407899218,11608.950193746487,8886.310904872389,8762.228838792005,13444.193912063136,11711.295660782489,12210.25138752857,10422.989200493923,10518.946553491844,9816.634978434617,15679.824561403511,132608.1778301732
2025-05-26,10243.766207353494,10014.470548178413,11628.206543741491,8913.37973704563,9024.528569403092,14054.866591506954,12062.966295355562,12514.96354336707,10662.061660275518,10856.305017153689,10059.630772829356,15969.298245614036,136004.4437318243
