Data,A,B,C,WIG
2025-03-05,114361.52564845842,112407.6194341394,110156.12932556626,92060.85
2025-03-06,115553.32835101288,114029.61186490188,112048.3311700851,93444.96
2025-03-07,115893.0709275824,113292.81395440995,111863.63784779551,93611.8
2025-03-10,113995.9627837592,112229.05713401556,110942.87163189898,92203.3
2025-03-11,114034.34400009771,111930.53470713783,111202.32593295148,91991.0
2025-03-12,117582.90503399917,111910.84032275132,112466.37909497003,93428.42
2025-03-13,119758.81152840142,115985.04219145738,113324.08027107811,94955.29
2025-03-14,123649.85612498698,117751.70466263071,114967.49238404492,97045.24
2025-03-17,125590.07132567168,118071.28952559012,116075.97897894937,98011.87
2025-03-18,126489.61296845909,118802.2657015088,116478.62496914135,98770.37
2025-03-19,126641.52710928708,118096.6095332118,115893.6558433226,98439.39
2025-03-20,125452.9236742194,117191.96783736396,115216.21508318196,97609.94
2025-03-21,124314.86594790708,116163.11056165551,116073.6704885868,96891.23
2025-03-24,126585.50413939878,119029.76406618091,117243.08992834511,98281.71
2025-03-25,129330.3697454924,117938.81511634067,118376.1375879784,99487.67
2025-03-26,128511.365285264,115960.94165859737,116456.13616508098,98547.63
2025-03-27,128751.98928887583,116859.98986572726,116475.20241220709,98745.21
2025-03-28,128685.16592227382,115682.02957850526,115942.029831045,97819.39
2025-03-31,125074.11538693482,112583.40100116376,113943.23478781464,95953.33
2025-04-01,127804.67460587557,114962.68257249631,114881.67792870969,97511.08
2025-04-02,128980.92642327776,115533.44361256385,115115.50975709752,97963.95
2025-04-03,124036.58594963409,111863.03705224182,112632.84022884784,94482.05
2025-04-04,114046.98575539512,105668.19509824138,109447.3524018655,89040.0
2025-04-07,112105.27735546666,104676.23978866558,107341.29655701692,87727.11
2025-04-08,116471.83803254756,107482.58595810732,110468.32894047604,90412.02
2025-04-09,113422.5044390781,104664.1982572545,107293.8210725104,87988.57
2025-04-10,117632.39696344464,107948.37025421976,111491.80091337523,91690.85
2025-04-11,117269.040567919,106669.3478666775,111167.53457864736,91120.04
2025-04-14,120275.4205740307,110005.30489261984,114784.53213445144,93759.46
2025-04-15,119617.28210370724,111603.87074358064,115299.88906530556,94140.8
2025-04-16,119484.15098254549,110893.37622827328,115900.02969412244,94136.7
2025-04-17,121265.38881145636,114128.1186396579,116871.294616935,95165.01
2025-04-22,124791.85584435968,117325.45456217948,118787.4397058596,97124.61
2025-04-23,128848.9921586166,121782.92326210265,119304.80419963467,99675.82
2025-04-24,129582.755204015,122500.92524399007,119723.80927082186,100115.26
2025-04-25,129501.78742907144,122412.73239915,120073.7163637928,100156.88
2025-04-28,129404.73447627644,123372.27921170542,121343.8996144312,100492.85
2025-04-29,130386.63128911346,123695.51548504844,122169.87604136016,100815.9
2025-04-30,126336.25079470592,119921.78814233032,122101.55434111104,98722.91
2025-05-02,129083.5648103552,122217.94670604392,125302.21578288775,101199.94
2025-05-05,127552.19301551112,121974.93480867735,124952.16129944462,100437.08
2025-05-06,125779.33789549868,120114.24446929996,124071.174998891,99195.99
2025-05-07,128449.7144595749,121401.3893206862,125100.90657361904,100382.72
2025-05-08,129316.37855634012,122273.78182947832,125740.70325627246,101010.19
2025-05-09,132600.1627292845,124565.83205810332,127170.41796010222,103247.39
2025-05-12,132795.44217561928,125188.39727869154,127495.32506908124,103526.84
